Section,Content,Triggers
6.6.5,"6.6.5 
If a fuel pressure damper is fitted it must be fitted upstream of both Fuel Flow Meters 
described in",['Flow']
8.5.2,"8.5.2 
Any data acquisition system, telemetry system or associated sensors additional to those 
provided by the FIA Standard ECU and FIA ADR must be physically separate and electrically 
isolated from any control electronics with the exception of: 
a. 
The primary regulated voltage supply. 
b. The car system ground. 
c. 
Communication links to the FIA Standard ECU, telemetry unit and FIA ADR. 
d. Power supplies, provided they are not used to power any control electronics, control 
sensors or actuators. 
e. 
Time synchronisation lines. 
f. 
Power unit synchronisation lines. 
g. 
An umbilical loom whose connector will remain disconnected when the car is moving. 
Unless approved by the FIA, no junction box or break-out box may be shared between the FIA 
Standard ECU system and a team data acquisition system. 
The use of any coupling, be it hard wired, magnetic, optical or other such link which allows 
the transmission of signals will not be considered as adequate isolation in the context ",['adequate']
Article 8.12,"Article 8.12; 
b. Handshaking required by the car to team telemetry system defined in",['required']
Appendix t,"Appendix to the Technical and Sporting Regulations. 
Any decision as to whether a camera or camera housing is fitted in those positions will be by 
agreement between the relevant Competitor and the Commercial Rights Holder. 
If a car is not required to carry either a camera in the helmet of the driver, or a camera in 
position 6, ballast of 0.35 kg must be securely fitted in the location of the Helmet Camera 
Processing Unit. 
2025 Formula 1 Technical Regulations 
80 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2",['required']
9.1.6,"9.1.6 
Integrated Cassette 
A cassette will be considered integrated if it is predominantly of the same material as the 
Gearbox Case and is permanently fixed to it. The minimal structure enclosing the Driveline 
Components and Gear-Change Components will be considered as the Cassette.",['minimal']
9.3.1,"9.3.1 
Clutch operating devices must be in the form of paddles, which comply with the following 
principles: 
a. 
There should be a maximum of two, mounted on the steering wheel for direct access in 
all circumstances. 
b. They should be of pull-type, opening the clutch when pulling the paddle towards the 
driver.  
c. 
Their travel should be in a plane nominally normal to the face of the steering wheel, 
with a maximum displacement of the driver’s contact surfaces of 80mm between end 
stops. 
d. They should have only a single degree of freedom. 
e. 
Where two paddles are fitted, they must be a left and right handed pair, identical in 
function and ergonomics, mounted in a symmetrically opposite manner on either side 
of the steering wheel centre plane. For the avoidance of doubt, they must have the 
same mechanical travel characteristics and be mapped identically. 
 
No interaction between them or the associated FIA Standard ECU inputs will be 
permitted and, furthermore, Competitors ",['required']
9.3.2,"9.3.2 
Designs which allow specific points along the travel range of the clutch operating device to be 
identified by the driver or assist him to hold a position are not permitted. 
In order to prevent interaction between the clutch paddles and other driver control devices, 
at least one of the following arrangements must be respected: 
2025 Formula 1 Technical Regulations 
84 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
a. 
When pulled to its maximum travel position, any clutch paddle should not reach further 
than the driver’s contact surfaces of any other paddle, lever or switch in any of their 
positions. 
b. The outboard 60% portion of any clutch paddle, measured from its mounting point to 
its outer edge by the driver’s contact surface, should be a minimum of 50mm away over 
its entire travel range from any other paddle, lever or switch. 
c. 
A clutch paddle should be separated from any adjacent paddle, lever or switch by a 
physical stop prev","['should not', 'should not']"
10.3.6,"10.3.6 
The structural part of each suspension member must: 
a. 
In any normal cross section relative to its load line (defined as a straight line between 
the inner and outer attachment point centres of the member) have two orthogonal 
axes of symmetry. Over the whole length of the member, the cross section must have a 
constant size, shape, and incidence to the reference plane when assessed at the legality 
ride height. 
Furthermore, the centroid may not be more than 5mm from the load line with the 
exception of front suspension elements locally for the sole purpose of ensuring 
minimum clearance with the wheel rim at full steering lock. 
In the case of the suspension member connecting the front upright to the steering 
system this dimension may be up to 10mm. 
 
Minimal exceptions will be permitted for the following: 
i. 
static ride height, camber, or toe adjustment components 
ii. 
the passage of hydraulic brake lines, electrical looms, or wheel tethers. 
iii. the attachment of fl",['Minimal']
Article 10.2.6,"Article 10.2.6. Such 
links must be rigid and of minimal mass and design so as to achieve the linking mechanism. 
Links using a fluid medium are not permitted.",['minimal']
10.5.3,"10.5.3 Power assisted steering systems may not be electronically controlled or electrically powered. 
No such system may carry out any function other than reduce the physical effort required to 
steer the car.",['required']
Article 17.4,"Article 17.4, the FIA will appoint a standard supplier for 
wheel rims and the Competitors will be required to use these rims. 
The front wheel rim assembly shall be that defined by drawing FIA-000000664 - Standard F1 
Front Wheel Assembly - RE2016. 
The rear wheel rim assembly shall be that defined by drawing FIA-000000667 - Standard F1 
Rear Wheel Assembly - RE2017 or by drawing FIA-000003062 - Standard F1 Rear Wheel 
Assembly – RE2069. 
The rear wheel rim assembly used during a Competition shall be that defined by drawing 
FIA-000003062 - Standard F1 Rear Wheel Assembly – RE2069.",['required']
12.2.1,"12.2.1 
Cockpit Opening 
In order to ensure that the opening giving the driver access to the cockpit is of adequate size; 
with the exception of the steering wheel, steering column, chassis mounted PCU8 display 
unit, seat and all padding required by","['adequate', 'required']"
12.2.2,"12.2.2 Survival Cell Dimensions 
Before the openings and recesses allowed in Articles 12.2.1, 12.2.4 and 12.2.5 are created, a 
single volume, which is symmetrical about Y=0, continuous, and has no apertures must be 
defined in accordance with the conditions laid out in (a)-(d), below. For this purpose, the 
panels specified in 12.3.2 and 12.3.3 are considered part of the survival cell. 
a. 
The minimum dimensions of the survival cell between XA=0 and XC=0 are defined by the 
union of RV-CH-FRONT-MIN and RV-CH-MID-MIN. 
2025 Formula 1 Technical Regulations 
99 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
b. The maximum dimensions of the survival cell between XA=0 and XB=0 are defined by the 
union of RV-CH-FRONT and the portion of RV-FLOOR-BODY that lies forward of XB=0 
and inboard of Y=210. 
c. 
Material may be removed from the upper front part of the volume defined in (a) and (b) 
above. In order to do so, a Z-plane must be defined such that the ",['minimal']
Article 13.5.1,"Article 13.5.1. The area of each such recess for each side 
impact structure must not exceed 8 000mm² when projected onto a Y-plane.  
b. For the sole purpose of allowing the secondary roll structure front fixing and fairings to 
be installed in accordance with Articles 12.4.2 and 3.12.3 (b). The total area of any such 
recess must not exceed 50 000mm². 
2025 Formula 1 Technical Regulations 
100 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
c. 
Minimal Recesses for the sole purpose of mounting mandatory components. Including 
but not limited to; timing transponder, PDM-F1 unit, F1MS Antenna, position 5 camera, 
medical light, datum-target seats, ERS Status Light, and clutch disengagement button.   
d. Minimal Recesses for the sole purpose of mounting team specified components. 
Including but not limited to; suspension brackets, suspension fairings, slip-angle sensor, 
bib stay mounting, and antennae. 
Furthermore: 
e. 
The step surfaces of recesses n","['Minimal', 'Minimal', 'required']"
Article 3.5.6,"Article 3.5.6 such that no part of the structure is in contact with the external air flow. 
b. Must be rigidly mounted to the Survival Cell using at least 4 fasteners.  
c. 
Must only deform in the event of an impact with the ground.  
Furthermore, the Front Floor Structure and Floor Auxiliary Component described in","['flow', 'deform']"
Appendix t,"Appendix to the Technical and Sporting 
Regulations is maintained. 
This laminate should extend in a longitudinal sense from A-A to the rear of the survival cell. 
The laminate should cover: 
a. 
From A-A to B-B, all surfaces which lie on or outside RV-CH-FRONT-MIN and which in 
side view are more than 50mm below the top curve of this volume. Any panel covering 
the Timing Transponder required by",['required']
12.3.4,"12.3.4 
Frontal Intrusion 
It must be demonstrated by calculation that during a collision, the rear impact structure of a 
car ahead could not enter the survival cell through the front bulkhead if the Front Impact 
Structure were not present. For this calculation, a load of [220, 0, 0] kN should be applied 
through a pad of the same dimensions as the prescribed rear impact structure, anywhere on 
the front bulkhead of the survival cell. The pad should not intrude into the survival cell more 
than 50mm behind AA. All components normally attached to the survival cell, except for the 
Front Impact Structure, must be considered in this evaluation.",['should not']
12.4.1,"12.4.1 
Principal Roll Structure 
The principal roll structure must satisfy the following geometric requirements:  
a. 
It must have structure at [XC=55, 0, 968]. 
b. A horizontal section through the structure at Z=950 must enclose an area of at least 
6000mm². The cross-sectional area may not be less than 6000mm2 in any horizontal 
section below this plane. 
c. 
Above Z=935, the external surface of the structure must be tangent continuous, and 
must not contain any concave radius of curvature. Any convex radius of curvature must 
be no smaller than 20mm.  
Compliance will be assessed without considering an opening in the structure to allow 
aerodynamic ducts to pass through. Any such opening must be below Z=955 
Minimal local deviations from this surface are permitted where the load pad described 
in",['Minimal']
Article 13.3.1,"Article 13.3.1 contacts the structure, at the intersection of the external surface and 
openings for an internal duct, and for the mounting of Camera 4. 
d. A horizontal section through the structure at Z=910 must enclose an area of at least 
10000mm². Furthermore, the section must enclose an axis-aligned square of side 
70mm. These requirements must be maintained in any horizontal section below this 
plane. 
When evaluating the above, only parts that genuinely contribute to the strength of the 
principal roll structure will be considered and no fairings may be included. Parts of the 
2025 Formula 1 Technical Regulations 
103 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
structure above Z=935 must be designed to support the car in a 15g vertical impact with the 
ground and be made from an abrasion resistant material. 
The areas required in (b) and (d) above, will be taken as the area of the minimum convex 
polygon enclosing the structural parts of th",['required']
12.5.4,"12.5.4 Internal cockpit volumes 
a. 
With the exception of the steering wheel, pedal assembly, driver’s seat, and any 
padding that is required by",['required']
Article 12.6.2,"Article 12.6.2, no part of the car may lie within a volume 
created by sweeping the outer vertical section shown in Drawing 3 of Appendix 2 
between XC= -850 and XC= -1415. 
b. With the exception of the steering wheel, steering column, driver’s seat, and pedal 
assembly, no part of the car may lie within a volume created by sweeping the inner 
vertical section shown in Drawing 3 of Appendix 2 between XC= -850 and XC= -1515. 
c. 
No part of the car may lie within the volume defined in RV-COCKPIT-DRIVER with the 
exception of: 
i. 
Items required for driver comfort or restraint e.g., the seat and its mountings, 
safety harness and its mountings, drinks system, padding required by","['required', 'required']"
Article  12.6.1,"Article 
12.6.1. 
ii. 
Items required for the driver to control the car e.g. steering wheel, steering 
column, dash display, switch panels, associated looms, driver microphone & 
earpiece. 
iii. Items that need to be accessed whilst the driver is seated in the car e.g. SDR 
download connector, connector for driver radio, associated looms, ES dousing 
connector.  
iv. Driver ballast. 
v. 
wiring looms or cables, excluding connectors, electrical boxes, or other electrical 
components. 
vi. Fire extinguisher nozzles, tubes, and brackets. 
vii. Fluid lines and their fittings 
viii. The accelerometer close to the centre of gravity, required by","['required', 'required']"
Article 8.10.2,"Article 8.10.2. 
ix.  The accelerometer required by",['required']
Appendix t,"Appendix to the Technical and Sporting Regulations. 
c. 
Are covered, in all areas where the driver’s head is likely to make contact, with laminate 
PL-HEADREST. 
2025 Formula 1 Technical Regulations 
105 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
d. Are positioned to be the first point of contact for the driver's helmet in the event of an 
impact projecting his head towards them during an accident. 
e. 
Must have a cover and internal structure which have no features that obstruct the 
padding’s freedom to compress to 5% of its uncompressed thickness. 
f. 
Must be so installed that if movement of the driver's head, in any expected trajectory 
during an accident, were to compress the padding fully at any point, his helmet would 
not make contact with any structural part of the car. 
g. 
Do not obscure sight of any part of the driver's helmet when he is seated normally and 
viewed from directly above the car. 
Rear Padding 
The first area of padding","['expected', 'required']"
Article 14.5,"Article 14.5 
fastened. However, with the safety harness unfastened, the dummy must be able to move 
forwards freely in the cockpit. The dummy shall be equipped with a helmet to FIA8860 or 
FIA8859 and an FHR to FIA8858 (the mass of the helmet and FHR should be recorded, but 
should not be included in the 75kg). The safety harness shall be fastened to represent in-race 
conditions. 
The fire extinguishers, as described in","['move', 'should not']"
13.4.9,"13.4.9  Nose Push-off Test 
During this test, the survival cell must be resting on a flat plate and secured to it solidly but 
not in a way that could increase the strength of the attachments being tested. 
A dummy front impact structure may be used for this test. The 250mm of the dummy 
structure closest to the survival cell should be identical in design and construction to the 
structure used in 13.6.2. The dummy structure should not in any way increase the strength of 
the survival cell or of the attachment between the survival cell and the impact structure. 
2025 Formula 1 Technical Regulations 
113 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
A constant transversal horizontal load of 66.7kN must be applied to one side of the impact 
structure at XA= -750 and at the mid-point of the height of the structure used in 13.6.2.All 
loads must be applied through a ball-jointed junction at the centre of area of the pad. 
After 30 seconds of application,",['should not']
13.6.1,"13.6.1 Front Impact Structure Specification 
An impact absorbing structure must be fitted in front of the survival cell. This structure need 
not be an integral part of the survival cell but must be solidly attached to it and be arranged 
symmetrically about the car centre plane. 
The impact absorbing structure must affix to the survival cell using a minimum of four 
attachments having the same nominal strength. 
Its forward-most point must be forward of XF= -1150. The X-planes D-D and E-E are defined as 
respectively 50mm and 150mm behind this forward-most point. 
This structure, excluding fairings or removable wing, must have: 
a. 
A single external vertical cross-section at the plane D-D. The area of the part of this 
section that lies less than 100mm from Y=0 must exceed 9000mm2.  
b. A single external vertical cross-section whose area exceeds 20000mm² at the plane E-E.  
c. 
Ahead of the plane D-D, no part above Z=235 
2025 Formula 1 Technical Regulations 
117 
26 February 2025 
©",['minimal']
14.2.3,"14.2.3 Teams will be required on request to supply the FIA with CAD data with regard to the visibility 
of their mirror arrangement, and the FIA will retain the right to modify the position of the 
volume defined in",['required']
14.4.2,"14.4.2  Rear Wing Tethers 
The rear wing assembly must be fitted with two tethers. Each tether should have a cross 
sectional area of at least 7mm2 and a minimum breaking strength of 5kN. 
The outer end of each tether should be attached to opposite sides of the rear wing assembly 
between 500mm and 600mm from the plane Y=0, between XR=150 and XR=400, and above 
Z=675. Each attachment must be able to withstand 5kN and the minimum bend-radius of the 
tether at the attachment is 3mm. 
The inboard end of each tether should be attached ahead of XDIF=300 and below Z=610. The 
attachments must be able to withstand 7.5kN if independent or 15kN if common. The 
minimum bend-radius of the tether at the attachment is 3mm.  
Alternatively, the two tethers may be joined to a single tether with a cross s sectional area of 
at least 14mm2 and a minimum breaking strength of 10kN using a fitting able to withstand 
15kN and with a minimum bend radius of the tethers of 3mm. The inboard end of this tether ","['must be able to withstand', 'must be able to withstand']"
15.1.3,"15.1.3 
Shape Memory Material 
A material that is configured to move reversibly between two (or more) different shapes 
when it is subjected only to a non-mechanical uniform stimulus (thermal, electrical, magnetic, 
optical, etc.), or exhibits a reversible phase change when subject to an applied stress. For 
clarity, this does not include consequential geometric changes that result solely from the 
effects of thermal expansion.",['move']
15.2.7,"15.2.7 Teams are required to make submissions of the materials that they will use on the car as part 
of their annual homologation submission. These shall be listed according to the categories in",['required']
15.6.2,"15.6.2 The prescribed laminates in use throughout the Technical Regulations are listed below: 
a. 
PL-HALO: [KC60, CC100, KC60] stacking sequence is free. 
b. PL-ANTI-SPLINTER may be one of the three specifications listed below: 
i. 
Laminate Type A – a laminate where more than 50% by weight of the reinforcing 
is: aramid, poly(p-phenylene benzobisoxazole) (e.g. “Zylon”), polyethylene, 
polypropylene or natural fibres. In this case, no additional precautions are 
required. 
ii. 
Laminate Type B – Laminates not covered by A and with areal weight of 
reinforcing up to 1000gsm: [B/2, R135, B/2] where B/2 is half the laminate ± 1 ply. 
iii. Laminate Type C – Laminates not covered by A and with areal weight of 
reinforcing is greater than 1000gsm: [C/2, R350, C/2] where C/2 is half the 
laminate ± 1 ply. 
c. 
PL-SUS-FAIRING: [CC100, (optional core material permitted in",['required']
Appendix t,"Appendix to the Sporting and Technical Regulations with one additional ply per skin 
(two total) of CC280UHS cloth using the same resin system as the homologated 
laminate. The orientation of the additional ply in each skin should be the same as the 
least numerous ply-orientation in that skin. 
f. 
PL-LWT-FAIRING [CC200, (Optional Aramid or Polymer Foam core), CC200] The edge of 
the laminate may be reinforced with a further 2 plies of CC200 (1 either side of the 
core, if applicable) which may extend no further than 20mm in from the perimeter of 
the fairing. 
2025 Formula 1 Technical Regulations 
130 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2",['if applicable']
16.1.5,"16.1.5 The function of an engine oil is to lubricate moving parts, to improve the overall efficiency of 
the engine by reducing friction and to reduce wear. It also cleans, inhibits corrosion, improves 
sealing, and cools the engine by carrying heat away from moving parts. Engine oils should not 
enhance the properties of the fuel nor energize the combustion. The presence of any 
component that cannot be rationally associated with the defined functions of the engine oil 
will be deemed unacceptable.",['should not']
17.2.8,"17.2.8 Competitors may make available to other Competitors test facilities and equipment such as 
(but not limited to) wind tunnels or dynamometers. The Intellectual Property involved in the 
operation of such shared facilities may be used by and/or disclosed to the sharing party but 
the results of any experimental or test work carried out on such facilities may only be used by 
the originator of the work. Where facilities are shared, robust processes must be put in place 
to ensure there is no transfer of Intellectual Property through common personnel and that all 
data can only be accessed by the originator of the work. Any such sharing of facilities must be 
declared to the FIA with a full description of the work that will be carried out, and also of the 
processes that will be put in place in order to avoid an exchange of information that could 
lead to the transfer of knowledge leading to the performance enhancement of an LTC (as 
required by",['required']
Article 17.3.4,"Article 17.3.4), or a TRC (as required by",['required']
Article 17.5.8,Article 17.5.8) or an OSC (as required by,['required']
17.3.3,"17.3.3 
Although it is permissible to be influenced by the design or concept of a Competitor's LTC 
using information that must potentially be available to all Competitors, this information may 
only be obtained at Competitions or Tests (as defined respectively in Articles 5 and 10.1 3 of 
the Sporting Regulations), and no Competitor may design its LTCs based on “reverse 
engineering” of another Competitor's LTC. For the purpose of this Article, “reverse 
engineering” shall mean: 
a. 
The use of photographs or images, combined with software that converts them to point 
clouds, curves, surfaces, or allows CAD geometry to be overlaid onto or extracted from 
the photograph or image 
b. The use of stereophotogrammetry, 3D cameras or any 3D stereoscopic techniques 
c. 
Any form of contact or non-contact surface scanning 
d. Any technique that projects points or curves on a surface so as to facilitate the reverse-
engineering process 
In cases where isolated features of a Competitor's LTC(s)",['required']
17.3.4,"17.3.4 No Competitor may, either directly or via a third party: 
a. 
pass on any information in respect of its LTC (including but not limited to data, designs, 
drawings, or any other Intellectual Property) to another Competitor or receive any 
information from another Competitor in respect of that Competitor’s LTC; or 
b. receive consultancy or any other kind of services from another Competitor in relation to 
LTC, or supply any such services to another Competitor; or 
c. 
pass any methodology which can be used to enhance the performance of LTC (including 
but not limited to simulation software, analysis tools, etc.) to another Competitor, or 
receive any such methodology from another Competitor. 
Notwithstanding the provision of this Article, Supplying Power Unit Manufacturers or 
Supplying Competitors of TRCs may carry out the assembly of the components they supply 
with adjacent LTC components of the Customer Competitor. In such cases, the Customer 
Competitor may provide the minim",['minimal']
17.6.6,"17.6.6 In the event the OSC or the Design Specification of any OSC contains proprietary information 
and/or Intellectual Property of a third party supplier, this must be made clear by the 
Competitor when uploading the Design Specification of the OSC, and use of the uploaded 
Design Specification (and any OSC manufactured to that Design Specification) by any other 
Competitor exercising its rights in accordance with these Technical Regulations must be 
approved in writing by the third party supplier, with a copy of such approval to be available to 
the FIA on request. Should it become necessary to remove any sensitive information, then 
the uploaded Design Specification must: 
a. 
Contain a clear reference to the supplier in question. 
b. Contain sufficient information for another Competitor to be able to order an identical 
component from the supplier. 
c. 
Contain all the necessary information to permit another Competitor to install the OSC in 
their own car. 
2025 Formula 1 Technica",['sufficient']
Article 17.5,"Article 17.5 for TRCs, however none of these 
restrictions shall prevent a Competitor from fulfilling their obligations with respect to OSC as 
required by",['required']
Article 4.4,"Article 4.4) but any 
in excess of 2kg will be removed 
before measuring PU mass. 
INC 
INC 
INC 
INC 
EXC 
EXC 
INC 
- 
41 
Ballast mounted on the PU in 
excess of 2kg. 
EXC 
EXC 
EXC 
EXC 
EXC 
EXC 
EXC 
- 
42 
Wiring harnesses which are not 
ordinarily part of a power unit. 
EXC 
EXC 
EXC 
EXC 
EXC 
EXC 
EXC 
- 
43 
High Pressure Fuel Pump Driver 
Unit 
INC 
EXC 
INC 
EXC 
EXC 
INC 
INC 
- 
44 
PU Engine air inlet system 
downstream of the components 
included in row 28b and 
upstream of those included in 
row 4. 
INC 
EXC 
INC 
EXC 
EXC 
INC 
EXC 
ICE 
A 
PU and spares for all 
Competitions in F1 World 
Championship plus 5000 km 
testing. 
Minimum number of PUs per 
team to be (number of PUs per 
driver per season according to 
Sporting Regulations) x 2 + 
Necessary number of units to 
achieve 5000 km of testing. 
Additional PUs or spares 
required to replace units out of 
service due to accident damage 
or other cause induced by team 
will be outside the supply 
perimeter and will",['required']
1.3,"1.3 
Information provided by the Power Unit Manufacturer to their customer Competitors 
Any Power Unit Manufacturer intending to homologate a Power Unit for use by a Competitor 
during a Championship must: 
a. 
Declare to the FIA, before 1 August of the preceding year, that they provided to their 
customer Competitors : 
i. 
An initial full external space model of the Power Unit including details and 
locations of all physical interfaces required by the team to install the Power Unit. 
ii. 
Preliminary estimates of important operating parameters such as heat rejection, 
fuel mass and density, clutch shaft stiffness and engine stiffness. 
b. Declare to the FIA, before 1 November of the preceding year, that they provided to 
their customer Competitors : 
i. 
A final full external space model of the Power Unit including details and locations 
of all physical interfaces required by the team to install the Power Unit. 
ii. 
Firm predictions of important operating parameters such as heat rej","['required', 'required', 'required']"
2.2,"2.2 
The homologation dossier must: 
a. 
include details of all the parts described as “INC” in the “App. 4 PU homol.” column of 
Appendix 3 of the Technical Regulations. 
b. include all documents required in",['required']
Appendix h,"Appendix hereto (which shall be 
agreed between the Power Unit Manufacturer and the Competitor) shall incur additional 
charges, the amount of which shall be based on the usages and practices generally 
recognised and respected in the market for the supply of parts and services in the 
Championship. In case of any alleged material breach or alleged material failure to comply 
2025 Formula 1 Technical Regulations 
169 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
with the provisions of this Paragraph 3, the FIA shall be entitled to engage proceedings before 
the FIA International Tribunal against the Power Unit Manufacturer. In the case that, in 
accordance of the provisions of the Code and of the Judicial and Disciplinary Rules, the 
International Tribunal rules that the Power Unit Manufacturer has materially breached or 
materially failed to comply with this Paragraph 3, the International Tribunal may impose on 
the Power Unit Manufacturer concerned",['required']
5.1,"5.1 
A manufacturer may apply to the FIA during the course of the homologation period to carry 
out modifications to the homologated Power Unit elements for the sole purposes of 
reliability, safety, cost saving, supply issues, or minimal incidental changes permitted in 5.4 
below. 
Applications must be made in writing to the FIA Technical Department and must provide all 
necessary supporting information including, where appropriate, clear evidence of failures. 
The FIA will circulate the correspondence to all Power Unit Manufacturers for comment. If 
the FIA is satisfied, in its absolute discretion, that these changes are acceptable, they will 
confirm to the Power Unit Manufacturer concerned that they may be carried out. 
2025 Formula 1 Technical Regulations 
170 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
Wherever practical, such requests must be submitted at least 14 days before the requested 
date of homologation. 
The procedure and associated",['minimal']
5.2,"5.2 
Modifications may be considered as minor if there is no or very limited effect on reliability 
and either the design of the part is not changed (e.g. change of supplier, change of part 
number …etc) or the geometrical change is minor, this attribute being subject to approval of 
the FIA at its sole discretion. These modifications must be clearly identified as minor in the 
requests, and they will be registered as such after approval by the other PU Manufacturers 
and the FIA. For such minor modifications, the PU Manufacturer may also request the 
possibility of exhausting the existing stock of parts alongside the use of the modified parts, 
and this must also be clearly specified in the request if applicable. In this case, there must be 
no preferential allocation of the modified parts between the Competitors supplied by the PU 
Manufacturer.",['if applicable']
5.4,"5.4 
Minimal incidental changes may be carried out for car installation purposes to the following 
components of the Power Unit: 
a. 
Wirings 
b. Exhaust system, provided the key defining parameters of the system (diameters, 
lengths, etc.) remain fundamentally unchanged 
c. 
Turbo-compressor position (within 20mm from the original position in relation to the 
ICE), turbo clocking, turbo supports 
d. Position of the wastegates with housings and pipes 
e. 
Position of the pop-off valves with housings and pipes 
f. 
Air Inlet system as defined in row 44 of the first table of Appendix 3, provided the key 
defining parameters of the system (diameters, lengths, etc.) remain fundamentally 
unchanged",['Minimal']
5.8,"5.8 
Requests for repair of a PU component in the form of a patch made of the same material or 
made of composite material, following damage or failure, may be accepted if it is only local 
and minimal. If accepted such repair can be applied to all components available but only on a 
temporary basis. It must not be present on the components used during the following 
Championship season if it is not made of the same material. 
6 
Schedule for the introduction at Events of modified Power Unit parts",['minimal']
6.1,"6.1 
The first time one or more Power Units comprising modified parts, as permitted by 
Paragraphs 4 and 5, are used in any of the cars powered by the Power Unit Manufacturer, a 
minimum of 1 Power Unit with the exact same specification must be available for each 
2025 Formula 1 Technical Regulations 
171 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
Competitor. Each Competitor will have priority use of one of these Power Units until the end 
of the first day of the Competition. 
In the case of a Manufacturer supplying Power Units to more than 2 Competitors, one 
exception per Championship season can be granted by the FIA, in its absolute discretion, in 
the event of genuine supply issues. The request must be made in writing to the FIA Technical 
Department and must provide all necessary information and evidence of the supply issue. If 
the FIA is satisfied, the minimum required number of Power Units available for all 
Competitors may be reduced to 2",['required']
6.4,"6.4 
A Power Unit element will be deemed to have been used once the car’s timing transponder 
has shown that it has left the pit lane. 
7 
Conformity with the power unit homologation dossier 
All Power Units must be delivered such that the seals required under",['required']
Article 28.5,"Article 28.5 of the 
Sporting Regulations can be fitted. Both the Power Unit Manufacturer and users of a 
homologated Power Unit must take whatever steps are required at any time by the FIA 
Technical Department, in its absolute discretion, to demonstrate that a Power Unit used at a 
Competition is in conformity with the corresponding Power Unit homologation dossier. 
 
2025 Formula 1 Technical Regulations 
172 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
APPENDIX 5: COMPONENTS’ CLASSIFICATION AND PERIMETER 
The following table defines the classification, of components for Formula One cars and 
support equipment. 
 
Ref. 
Component 
or Assembly 
Art. 
Class. 
System Description & 
Boundaries 
Included Components 
(List not exhaustive) 
Excluded Components 
1 
Survival Cell Items & Safety Structures  
1A 
Survival Cell 
and Primary 
Roll Structure 
12 
LTC 
The structure that 
includes the cockpit, takes 
suspension loads and 
aerodynamic loads and 
","['required', 'required']"
9.2,"9.2 
TRC 
Shaft between clutch and 
gearbox (if PU mounted) 
or PU (if Gearbox 
mounted) 
Clutch shaft, intermediate 
support bearing and 
bracket if required. 
Clutch shaft torque sensor 
3F 
Clutch shaft 
torque sensor",['if required']
9.5,"9.5 
TRC 
Components that are not 
included in Driveline or 
Gear-Change Components 
but interact directly with 
these components and are 
essential for the 
Oil Pressure and Scavenge 
Pumps, Oil Filter, Oil Tank, 
Reverse-gear idler & 
Actuator, Differential 
Actuator, local electrical 
Oil cooler 
2025 Formula 1 Technical Regulations 
174 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
Ref. 
Component 
or Assembly 
Art. 
Class. 
System Description & 
Boundaries 
Included Components 
(List not exhaustive) 
Excluded Components 
functioning of the 
gearbox.  
and electronic 
components. 
3L 
Drive shaft 
9 
OSC 
The assembly that 
transfers load from the 
gearbox driveline 
components to the Axles 
Driveshaft, joints, bearings 
and any required fixings, 
torque sensors and/or 
trigger wheels if present 
  
4 
Suspension and Steering  
4A 
Inboard Front 
Suspension",['required']
10.5.3,"10.5.3 
TRC 
Steering unit from the 
attachment to the 
steering column to the 
clevises for the track rods, 
connection to the 
hydraulic system and 
connection to the 
electrical loom 
Rack assembly, local 
electrical and electronic 
components, protective 
cover, fasteners to 
survival cell, options for 
varying assistance. 
  
4M 
Steering 
column 
10.x 
OSC 
The assembly that 
transfers load from the 
steering wheel QD 
through to the Power 
Assisted Steering 
Forward and Rearward 
columns, bearings, 
mounting brackets, 
attachments to chassis, 
parts required to pass 
impact test. local electrical 
and electronic 
components. 
Fixings to the survival cell. 
4N 
Steering 
wheel and 
quick release 
  
OSC 
The assembly that 
transfers load from the 
driver to the steering 
column 
Steering Wheel, quick 
release mechanism, gear 
shift and clutch paddles, 
local electrical and 
electronic components, 
Any component that cannot 
be removed via the 
operation of the quick 
release 
202",['required']
6.6.2,"6.6.2,6
.6.3 
SSC 
Primer pump(s), and pipes 
between the primer 
pump(s) and the 
breakaway valve. 
Primer pump(s), flexible 
pipes and hoses and their 
fittings between pump(s) 
and breakaway valve, fuel 
flow meter inlet pressure 
and temperature sensors. 
Components classified as 
part of collector. 
Components upstream of 
primer pump(s). 
Components between 
primer pump(s) and 
breakaway valve listed as 
OSC. 
6C 
Fuel Bladder",['flow']
