Section,Trigger Words,Excerpt,Suggested Loophole,Usefulness
17.3.4,['minimal'],"17.3.4 No Competitor may, either directly or via a third party: 
a. 
pass on any information in respect of its LTC (including but not limited to data, designs, 
drawings, or any other Intellectual Property) to another Competitor or receive any 
information from another Competitor in respect of that ",Use vibration damping to mimic non-flexibility in floor components.,Medium
17.6.6,['sufficient'],"17.6.6 In the event the OSC or the Design Specification of any OSC contains proprietary information 
and/or Intellectual Property of a third party supplier, this must be made clear by the 
Competitor when uploading the Design Specification of the OSC, and use of the uploaded 
Design Specification (a",Design adaptive aero parts that deform only above 250 km/h.,Impractical
Article 17.5,['required'],"Article 17.5 for TRCs, however none of these 
restrictions shall prevent a Competitor from fulfilling their obligations with respect to OSC as 
required by",Design adaptive aero parts that deform only above 250 km/h.,Low
Article 4.4,['required'],"Article 4.4) but any 
in excess of 2kg will be removed 
before measuring PU mass. 
INC 
INC 
INC 
INC 
EXC 
EXC 
INC 
- 
41 
Ballast mounted on the PU in 
excess of 2kg. 
EXC 
EXC 
EXC 
EXC 
EXC 
EXC 
EXC 
- 
42 
Wiring harnesses which are not 
ordinarily part of a power unit. 
EXC 
EXC 
EXC 
EXC 
E",Reduce cooling aperture under 'minimal required' wording.,Low
1.3,['required'],"1.3 
Information provided by the Power Unit Manufacturer to their customer Competitors 
Any Power Unit Manufacturer intending to homologate a Power Unit for use by a Competitor 
during a Championship must: 
a. 
Declare to the FIA, before 1 August of the preceding year, that they provided to their 
c",Redirect airflow through brake ducts under loosely defined dimensions.,Medium
2.2,['required'],"2.2 
The homologation dossier must: 
a. 
include details of all the parts described as “INC” in the “App. 4 PU homol.” column of 
Appendix 3 of the Technical Regulations. 
b. include all documents required in",Exploit temperature-sensitive coatings that soften under load testing.,Low
Appendix h,['required'],"Appendix hereto (which shall be 
agreed between the Power Unit Manufacturer and the Competitor) shall incur additional 
charges, the amount of which shall be based on the usages and practices generally 
recognised and respected in the market for the supply of parts and services in the 
Championship.",Design adaptive aero parts that deform only above 250 km/h.,Low
5.1,['minimal'],"5.1 
A manufacturer may apply to the FIA during the course of the homologation period to carry 
out modifications to the homologated Power Unit elements for the sole purposes of 
reliability, safety, cost saving, supply issues, or minimal incidental changes permitted in 5.4 
below. 
Applications mus",Redirect airflow through brake ducts under loosely defined dimensions.,Medium
5.2,['if applicable'],"5.2 
Modifications may be considered as minor if there is no or very limited effect on reliability 
and either the design of the part is not changed (e.g. change of supplier, change of part 
number …etc) or the geometrical change is minor, this attribute being subject to approval of 
the FIA at its ",Exploit temperature-sensitive coatings that soften under load testing.,Low
5.4,['Minimal'],"5.4 
Minimal incidental changes may be carried out for car installation purposes to the following 
components of the Power Unit: 
a. 
Wirings 
b. Exhaust system, provided the key defining parameters of the system (diameters, 
lengths, etc.) remain fundamentally unchanged 
c. 
Turbo-compressor positi",Exploit temperature-sensitive coatings that soften under load testing.,Medium
5.8,['minimal'],"5.8 
Requests for repair of a PU component in the form of a patch made of the same material or 
made of composite material, following damage or failure, may be accepted if it is only local 
and minimal. If accepted such repair can be applied to all components available but only on a 
temporary basis",Design adaptive aero parts that deform only above 250 km/h.,Low
6.1,['required'],"6.1 
The first time one or more Power Units comprising modified parts, as permitted by 
Paragraphs 4 and 5, are used in any of the cars powered by the Power Unit Manufacturer, a 
minimum of 1 Power Unit with the exact same specification must be available for each 
2025 Formula 1 Technical Regulation",Use vibration damping to mimic non-flexibility in floor components.,Impractical
6.4,['required'],"6.4 
A Power Unit element will be deemed to have been used once the car’s timing transponder 
has shown that it has left the pit lane. 
7 
Conformity with the power unit homologation dossier 
All Power Units must be delivered such that the seals required under",Redirect airflow through brake ducts under loosely defined dimensions.,Medium
Article 28.5,['required'],"Article 28.5 of the 
Sporting Regulations can be fitted. Both the Power Unit Manufacturer and users of a 
homologated Power Unit must take whatever steps are required at any time by the FIA 
Technical Department, in its absolute discretion, to demonstrate that a Power Unit used at a 
Competition is ",Use vibration damping to mimic non-flexibility in floor components.,Medium
9.2,['if required'],"9.2 
TRC 
Shaft between clutch and 
gearbox (if PU mounted) 
or PU (if Gearbox 
mounted) 
Clutch shaft, intermediate 
support bearing and 
bracket if required. 
Clutch shaft torque sensor 
3F 
Clutch shaft 
torque sensor",Exploit temperature-sensitive coatings that soften under load testing.,Low
9.5,['required'],"9.5 
TRC 
Components that are not 
included in Driveline or 
Gear-Change Components 
but interact directly with 
these components and are 
essential for the 
Oil Pressure and Scavenge 
Pumps, Oil Filter, Oil Tank, 
Reverse-gear idler & 
Actuator, Differential 
Actuator, local electrical 
Oil cooler ",Redirect airflow through brake ducts under loosely defined dimensions.,Impractical
10.5.3,['required'],"10.5.3 
TRC 
Steering unit from the 
attachment to the 
steering column to the 
clevises for the track rods, 
connection to the 
hydraulic system and 
connection to the 
electrical loom 
Rack assembly, local 
electrical and electronic 
components, protective 
cover, fasteners to 
survival cell, opti",Redirect airflow through brake ducts under loosely defined dimensions.,High Potential
6.6.2,['flow'],"6.6.2,6
.6.3 
SSC 
Primer pump(s), and pipes 
between the primer 
pump(s) and the 
breakaway valve. 
Primer pump(s), flexible 
pipes and hoses and their 
fittings between pump(s) 
and breakaway valve, fuel 
flow meter inlet pressure 
and temperature sensors. 
Components classified as 
part of collec",Use vibration damping to mimic non-flexibility in floor components.,Impractical
6.6.6,['flow'],"6.6.6 
OSC 
Low pressure fuel system 
from lift pump inlet filters 
up to and including chassis 
breakaway valve or 
optional inlet filter to high 
pressure fuel pump (if 
fitted)  
Pressure Relief Valves 
(PRV), Non-Return Valves 
(NRV), Breakaway Valve, 
filters, lift pumps, optional 
damper, rigi",Design adaptive aero parts that deform only above 250 km/h.,High Potential
6.6.4,['required'],"6.6.4 
LTC 
The Sensor and PRV 
specified in 6.1.4 and 
shown in diagram 6.6.4 
Sensor and fittings to fuel 
bladder. PRV and fittings 
to fuel bladder 
Fuel bladder 
7 
Hydraulic System  
7A 
Hydraulic 
pump and 
accumulator 
  
TRC 
  
Hydraulic pump, hydraulic 
accumulator, local 
electrical and ",Use vibration damping to mimic non-flexibility in floor components.,Medium
5.3.2,['Flow'],"5.3.2 
SSC 
  
  
  
10B 
Fuel Flow 
Meter",Design adaptive aero parts that deform only above 250 km/h.,High Potential
5.11.3,['flow'],"5.11.3 
SSC 
 Prescribed fuel flow 
meters 
  
 Fittings, hoses, pipes, AV 
mounts 
10C 
Power Unit 
Pressure and 
Temperature 
sensors",Design adaptive aero parts that deform only above 250 km/h.,Impractical
